videoID,startingTimeStamp,endingTimeStamp,is_anime,is_videoGame,is_fastRepetitiveMovement,is_cartoonCharacter,is_appearanceUnpleasant,is_violenceActivity,is_obscene,is_audio,is_loud,is_screaming,is_explosion,videoClass,audioClass
-fx0zhyNQK8,0,10,no,no,no,yes,yes,no,yes,yes,yes,yes,no,1,1
-fx0zhyNQK8,90,100,no,no,no,yes,yes,no,no,yes,no,yes,no,1,1
-fx0zhyNQK8,80,90,no,no,no,yes,yes,no,no,yes,yes,yes,no,1,1
-fx0zhyNQK8,40,50,no,no,no,yes,yes,no,no,yes,no,yes,no,1,1
-fx0zhyNQK8,50,60,no,no,no,yes,yes,no,no,yes,no,yes,no,1,1
-Gkj5zmq3vY,0,10,no,no,no,no,no,no,no,yes,yes,no,no,0,0
-Gkj5zmq3vY,70,80,no,no,no,no,no,no,no,yes,yes,no,no,0,0
-Gkj5zmq3vY,50,60,no,no,no,no,no,no,no,yes,yes,no,no,0,0
-Gkj5zmq3vY,30,40,no,no,no,no,no,no,no,yes,yes,no,no,0,0
-Gkj5zmq3vY,20,30,no,no,no,no,no,no,no,yes,yes,no,no,0,0
04BCprIjKKk,0,10,no,no,no,no,no,no,no,yes,no,no,no,0,0
04BCprIjKKk,990,1000,no,no,no,no,no,no,no,yes,yes,no,no,0,0
04BCprIjKKk,1400,1410,no,no,no,no,no,no,no,yes,no,yes,no,0,0
04BCprIjKKk,1990,2000,no,no,no,no,no,no,no,yes,no,no,no,0,0
04BCprIjKKk,3230,3240,no,no,no,no,no,no,no,yes,no,no,no,0,0
1LIHIWmgsBo,0,10,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
1LIHIWmgsBo,90,100,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
1LIHIWmgsBo,80,90,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
1LIHIWmgsBo,160,170,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
1LIHIWmgsBo,120,130,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
1Oe4q7fYdws,0,10,no,no,no,no,no,no,no,yes,no,no,no,0,0
1Oe4q7fYdws,10,20,no,no,yes,no,no,no,no,no,no,no,no,0,0
1Oe4q7fYdws,20,30,no,no,yes,no,no,no,no,yes,yes,no,no,0,0
1Oe4q7fYdws,30,40,no,no,yes,no,no,no,no,yes,yes,no,no,0,0
29ZevPl-VpI,0,10,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
29ZevPl-VpI,10,20,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
29ZevPl-VpI,20,30,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
29ZevPl-VpI,30,40,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
2Vwcb6g_dI0,0,10,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
2Vwcb6g_dI0,90,100,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
2Vwcb6g_dI0,60,70,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
2Vwcb6g_dI0,10,20,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
2Vwcb6g_dI0,150,160,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
36Cl0MoOc54,0,10,no,no,no,yes,no,no,no,yes,no,no,no,0,0
36Cl0MoOc54,80,90,no,no,no,yes,no,no,no,yes,no,no,no,0,0
36Cl0MoOc54,40,50,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
36Cl0MoOc54,60,70,no,no,no,yes,no,no,no,yes,no,no,no,0,0
36Cl0MoOc54,10,20,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
3abqt_U8Jfo,0,10,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
3abqt_U8Jfo,90,100,no,no,no,yes,no,no,no,yes,yes,no,no,0,1
3abqt_U8Jfo,120,130,no,no,yes,yes,no,no,no,yes,yes,no,no,1,1
3abqt_U8Jfo,110,120,no,no,yes,yes,no,no,no,yes,yes,no,no,1,1
3abqt_U8Jfo,170,180,no,no,no,yes,no,no,no,yes,yes,no,no,0,1
3JA9sIUAuys,0,10,no,no,no,yes,no,no,no,yes,no,no,no,0,0
3JA9sIUAuys,990,1000,no,no,no,yes,no,no,no,yes,no,no,no,0,0
3JA9sIUAuys,1630,1640,no,no,no,yes,no,no,no,yes,no,no,no,0,0
3JA9sIUAuys,720,730,no,no,no,yes,no,no,no,yes,no,no,no,0,0
3JA9sIUAuys,1230,1240,no,no,no,yes,no,no,no,yes,no,no,no,0,0
4dKKDmkzdh0,0,10,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4dKKDmkzdh0,990,1000,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4dKKDmkzdh0,750,760,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4dKKDmkzdh0,1040,1050,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4dKKDmkzdh0,1300,1310,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4KicPYvw-EU,0,10,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
4LEACAOCbms,0,10,no,no,no,yes,no,no,no,yes,no,no,no,0,0
4LEACAOCbms,90,100,no,no,no,yes,no,no,no,yes,no,no,no,0,0
4LEACAOCbms,320,330,no,no,no,yes,no,no,no,yes,no,no,no,0,0
4LEACAOCbms,50,60,no,no,no,yes,no,no,no,yes,no,no,no,0,0
4LEACAOCbms,410,420,no,no,no,yes,yes,no,no,no,no,no,no,1,0
4seWpgoh1W8,0,10,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
4sRgfocDimw,0,10,no,no,no,yes,no,no,no,yes,no,no,no,0,0
4sRgfocDimw,90,100,no,no,no,yes,yes,no,no,yes,yes,yes,no,1,1
4sRgfocDimw,50,60,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4sRgfocDimw,520,530,no,no,no,yes,yes,no,yes,yes,no,no,no,1,0
4sRgfocDimw,110,120,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
4ypch4Z1ccA,0,10,no,no,no,yes,no,no,no,yes,yes,no,no,0,1
54qhbFCK8iw,0,10,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
54qhbFCK8iw,90,100,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
54qhbFCK8iw,80,90,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
54qhbFCK8iw,230,240,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
54qhbFCK8iw,290,300,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
55Nx0tqDWB0,0,10,no,no,no,yes,yes,no,no,yes,yes,yes,no,1,1
55Nx0tqDWB0,10,20,no,no,no,yes,yes,no,no,yes,no,yes,no,1,1
6mSe6Dq7R8E,0,10,no,no,yes,no,no,no,no,yes,yes,no,no,0,0
6mSe6Dq7R8E,50,60,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
6mSe6Dq7R8E,10,20,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
6mSe6Dq7R8E,30,40,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
6mSe6Dq7R8E,40,50,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
6R11PvfjCSY,0,10,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
6R11PvfjCSY,10,20,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
6R11PvfjCSY,20,30,no,no,yes,yes,yes,no,no,yes,yes,no,no,1,1
6R11PvfjCSY,30,40,no,no,no,yes,yes,no,no,yes,yes,no,no,1,1
7d9bv2kUhu0,0,10,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
7d9bv2kUhu0,10,20,no,no,no,yes,yes,no,no,yes,no,no,no,1,0
